Course ID,Course Name,Judul Modul/Tutorial
80,Memulai Pemrograman dengan Kotlin,"Slice, Distinct, dan Chuncked"
80,Memulai Pemrograman dengan Kotlin,Sequences
80,Memulai Pemrograman dengan Kotlin,Rangkuman dari Special Class dan Collection
80,Memulai Pemrograman dengan Kotlin,Kuis Special Class dan Collection
80,Memulai Pemrograman dengan Kotlin,Konsep Functional Programming
80,Memulai Pemrograman dengan Kotlin,Function Type
80,Memulai Pemrograman dengan Kotlin,Lambda
80,Memulai Pemrograman dengan Kotlin,Higher-Order Function
80,Memulai Pemrograman dengan Kotlin,Lambda with receiver
80,Memulai Pemrograman dengan Kotlin,Kotlin Standard Library
80,Memulai Pemrograman dengan Kotlin,Scope Function with Lambda Receiver
80,Memulai Pemrograman dengan Kotlin,Scope Function with Lambda Argument
80,Memulai Pemrograman dengan Kotlin,Member References
80,Memulai Pemrograman dengan Kotlin,Function Inside Function
80,Memulai Pemrograman dengan Kotlin,Recursion
80,Memulai Pemrograman dengan Kotlin,Rangkuman dari Kotlin Functional Programming
80,Memulai Pemrograman dengan Kotlin,Kuis Kotlin Functional Programming
80,Memulai Pemrograman dengan Kotlin,Konsep Generics pada Kotlin
80,Memulai Pemrograman dengan Kotlin,Mendeklarasikan Kelas Generic
80,Memulai Pemrograman dengan Kotlin,Mendeklarasikan Fungsi Generic
80,Memulai Pemrograman dengan Kotlin,Constraint Type Parameter
80,Memulai Pemrograman dengan Kotlin,Variance
80,Memulai Pemrograman dengan Kotlin,Rangkuman dari Kotlin Generics
80,Memulai Pemrograman dengan Kotlin,Kuis Kotlin Generics
80,Memulai Pemrograman dengan Kotlin,Concurrency pada Kotlin
80,Memulai Pemrograman dengan Kotlin,Concurrency vs Parallelism
80,Memulai Pemrograman dengan Kotlin,"Process, Thread, I/O-Bound"
80,Memulai Pemrograman dengan Kotlin,Permasalahan Deadlocks dan Livelocks
80,Memulai Pemrograman dengan Kotlin,Permasalahan Starvation dan Race Conditions
80,Memulai Pemrograman dengan Kotlin,Kotlin Coroutines
80,Memulai Pemrograman dengan Kotlin,Memulai Coroutines
80,Memulai Pemrograman dengan Kotlin,Coroutines Builder
80,Memulai Pemrograman dengan Kotlin,Job
80,Memulai Pemrograman dengan Kotlin,Membuat dan Menjalankan Job Baru
80,Memulai Pemrograman dengan Kotlin,Membatalkan Job
80,Memulai Pemrograman dengan Kotlin,Deferred
80,Memulai Pemrograman dengan Kotlin,Coroutine Dispatcher
80,Memulai Pemrograman dengan Kotlin,Channels
80,Memulai Pemrograman dengan Kotlin,Rangkuman dari Berkenalan dengan Coroutines
80,Memulai Pemrograman dengan Kotlin,Kuis Berkenalan dengan Coroutines
80,Memulai Pemrograman dengan Kotlin,Rangkuman Kelas
80,Memulai Pemrograman dengan Kotlin,Exam Kelas Kotlin
80,Memulai Pemrograman dengan Kotlin,Proyek Akhir
86,Memulai Pemrograman dengan Python,Pengenalan Kelas
86,Memulai Pemrograman dengan Python,Glossarium
86,Memulai Pemrograman dengan Python,Pengenalan Python
86,Memulai Pemrograman dengan Python,Menjalankan Kode Program Pertama
86,Memulai Pemrograman dengan Python,Bersiap Membuat Kode Program di Lokal
86,Memulai Pemrograman dengan Python,Menjalankan Kode Program di Lokal
86,Memulai Pemrograman dengan Python,Variable dan Assignment
86,Memulai Pemrograman dengan Python,Input/Output dan Komentar
86,Memulai Pemrograman dengan Python,Kuis Coding: Variabel dan Assignment
86,Memulai Pemrograman dengan Python,Rangkuman Berkenalan dengan Python
86,Memulai Pemrograman dengan Python,Kuis Berkenalan dengan Python
86,Memulai Pemrograman dengan Python,Abstraksi Data
86,Memulai Pemrograman dengan Python,Data Typing
86,Memulai Pemrograman dengan Python,Tipe Data
86,Memulai Pemrograman dengan Python,Kuis Coding: Tipe Data
86,Memulai Pemrograman dengan Python,Kuis Coding: Dictionary
86,Memulai Pemrograman dengan Python,"Transformasi Angka, Karakter, dan String"
86,Memulai Pemrograman dengan Python,"Operasi pada List, Set, dan String"
86,Memulai Pemrograman dengan Python,Kuis Coding: Operasi List
86,Memulai Pemrograman dengan Python,Rangkuman Berinteraksi dengan Data
86,Memulai Pemrograman dengan Python,Kuis Berinteraksi dengan Data
86,Memulai Pemrograman dengan Python,Pengertian Ekspresi
86,Memulai Pemrograman dengan Python,Jenis-Jenis Ekspresi
86,Memulai Pemrograman dengan Python,Jenis-Jenis Operator
86,Memulai Pemrograman dengan Python,Kuis Coding: Ekspresi
86,Memulai Pemrograman dengan Python,Rangkuman Ekspresi
86,Memulai Pemrograman dengan Python,Kuis Ekspresi
86,Memulai Pemrograman dengan Python,Pengenalan Aksi Sekuensial
86,Memulai Pemrograman dengan Python,Python Interpreter
86,Memulai Pemrograman dengan Python,One-liner
86,Memulai Pemrograman dengan Python,Rangkuman Aksi Sekuensial
86,Memulai Pemrograman dengan Python,Kuis Aksi Sekuensial
86,Memulai Pemrograman dengan Python,Percabangan dan Ternary Operators
86,Memulai Pemrograman dengan Python,Perulangan
86,Memulai Pemrograman dengan Python,Kuis Coding: Perulangan dan Percabangan
86,Memulai Pemrograman dengan Python,Penanganan Kesalahan (Error Handling and Exception Handling)
86,Memulai Pemrograman dengan Python,Rangkuman Control Flow
86,Memulai Pemrograman dengan Python,Kuis Control Flow
86,Memulai Pemrograman dengan Python,Fundamental Array
86,Memulai Pemrograman dengan Python,Implementasi Array dengan Python
86,Memulai Pemrograman dengan Python,Pemrosesan Sekuensial pada Array
86,Memulai Pemrograman dengan Python,Latihan Array
86,Memulai Pemrograman dengan Python,Kuis Coding: Array atau List
86,Memulai Pemrograman dengan Python,Rangkuman Array dan Pemrosesannya
86,Memulai Pemrograman dengan Python,Kuis Array dan Pemrosesannya
86,Memulai Pemrograman dengan Python,Fundamental Matriks
86,Memulai Pemrograman dengan Python,Implementasi Matriks pada Python
86,Memulai Pemrograman dengan Python,Operasi Matriks pada Python
86,Memulai Pemrograman dengan Python,Rangkuman Matriks
86,Memulai Pemrograman dengan Python,Kuis Matriks
86,Memulai Pemrograman dengan Python,Definisi Subprogram
86,Memulai Pemrograman dengan Python,Fungsi
86,Memulai Pemrograman dengan Python,Kuis Coding: Fungsi
86,Memulai Pemrograman dengan Python,Prosedur
86,Memulai Pemrograman dengan Python,Rangkuman Subprogram
86,Memulai Pemrograman dengan Python,Kuis Subprogram
86,Memulai Pemrograman dengan Python,Duck Typing
86,Memulai Pemrograman dengan Python,"Class, Object, dan Method"
86,Memulai Pemrograman dengan Python,Inheritance (Pewarisan)
86,Memulai Pemrograman dengan Python,Kuis Coding: Object-oriented Programming
86,Memulai Pemrograman dengan Python,Rangkuman Object-Oriented Programming (OOP)
86,Memulai Pemrograman dengan Python,Kuis Object-Oriented Programming (OOP)
86,Memulai Pemrograman dengan Python,Pengecekan Style Guide PEP8
86,Memulai Pemrograman dengan Python,Memformat Kode
86,Memulai Pemrograman dengan Python,Style Guide Statement Gabungan
86,Memulai Pemrograman dengan Python,Style Guide Prinsip Penamaan pada Python
86,Memulai Pemrograman dengan Python,Rangkuman Style Guide pada Python
86,Memulai Pemrograman dengan Python,Kuis Style Guide pada Python
86,Memulai Pemrograman dengan Python,Pengantar Unit Testing
86,Memulai Pemrograman dengan Python,Penerapan Unit Test dengan Library unittest
86,Memulai Pemrograman dengan Python,Rangkuman Unit Testing
86,Memulai Pemrograman dengan Python,Kuis Unit Testing
86,Memulai Pemrograman dengan Python,Pengenalan Library
86,Memulai Pemrograman dengan Python,Library Text Processing
86,Memulai Pemrograman dengan Python,Library Matematika
86,Memulai Pemrograman dengan Python,Library Parser
86,Memulai Pemrograman dengan Python,Library Pengolahan Data
86,Memulai Pemrograman dengan Python,Library File Management
86,Memulai Pemrograman dengan Python,Library Web Scraping
86,Memulai Pemrograman dengan Python,Library Machine Learning
86,Memulai Pemrograman dengan Python,Library Web Development
86,Memulai Pemrograman dengan Python,Rangkuman Library Populer pada Python
86,Memulai Pemrograman dengan Python,Kuis Library Populer pada Python
86,Memulai Pemrograman dengan Python,Rangkuman Kelas
86,Memulai Pemrograman dengan Python,Ujian Akhir
120,Memulai Pemrograman Dengan C,Persetujuan dan Hak Cipta
120,Memulai Pemrograman Dengan C,Pengenalan Kelas
120,Memulai Pemrograman Dengan C,Cara Belajar Pemrograman
120,Memulai Pemrograman Dengan C,Mengenal Bahasa C
120,Memulai Pemrograman Dengan C,IDE Online
